stage,bill_amount,due_days,spawn_count,note
1,20,3,6,"원작 1번째 고지서 실측 (수도 요금, $20 / 3일, PM 직접 플레이 2026-09-23). 크리처 해금은 단계와 무관 — 회차 누적 수입 (#301)"
2,45,5,7,"원작 2번째 고지서 실측 (프리미엄 TV, $45 / 5일, PM 직접 플레이 2026-09-23). 크리처 해금은 단계와 무관 — 회차 누적 수입 (#301)"
3,200,5,8,"원작 3번째 고지서 실측 (에어컨 수리, $200 / 5일, PM 직접 플레이 2026-09-23). 크리처 해금은 단계와 무관 — 회차 누적 수입 (#301)"
4,750,9,8,"원작 4번째 고지서 실측 (월세, $750 / 9일, PM 직접 플레이 2026-09-23). 크리처 해금은 단계와 무관 — 회차 누적 수입 (#301)"
5,1000,5,9,"원작 5번째 고지서 실측 (전기 요금, $1,000 / 5일, PM 직접 플레이 2026-09-23). 크리처 해금은 단계와 무관 — 회차 누적 수입 (#301)"
6,2700,5,9,"원작 6번째 고지서 실측 (녹슨 캐딜락, $2,700 / 5일, PM 직접 플레이 2026-09-23). 크리처 해금은 단계와 무관 — 회차 누적 수입 (#301)"
7,5800,5,9,"원작 7번째 고지서 (영상 자막 sYy 52:02 ""5800 in 5 days""). 크리처 해금은 단계와 무관 — 회차 누적 수입 (#301)"
8,12000,5,10,원작 8번째 (sYy 56:50 5일 · RDI 65:23 6일 — 기한 보정 없는 쪽을 택함). 크리처 해금은 단계와 무관 — 회차 누적 수입 (#301)
9,34000,5,10,원작 9번째 (RDI 73:37 6일 · ou7 65:18 4일 — 가운데 5일). 크리처 해금은 단계와 무관 — 회차 누적 수입 (#301)
10,65000,5,10,"원작 10번째 (sYy 65:31 · TUel 82:21, 기한 미확인 → 5일). 크리처 해금은 단계와 무관 — 회차 누적 수입 (#301)"
11,250000,5,10,"원작 11번째 (sYy 72:34 · Nzd 169:03 ""250k in 5 days""). 우리 마지막 고지서. 크리처 해금은 단계와 무관 — 회차 누적 수입 (#301)"
