key,value,unit,note
base_hit_power,1.0,hp/hit,호버 타격 1회에 깎는 내구도. 코인은 파괴 시에만 지급한다
hover_swing_interval_sec,0.85,sec,대상 유무와 무관한 호버 망치 스윙 간격 (원작 쿨타임 게이지 주기에 맞춤)
auto_hammer_count_init,0,count,자동 망치 초기 보유량. 업그레이드로 증가
auto_hammer_power,1.0,ratio,자동 망치 1기가 호버 망치 최종 파워(업그레이드·퍼크 적용 후) 대비 내는 비율. 1.0 이면 호버 한 타와 같다
auto_hammer_proc_chance,1,percent,호버 망치가 적중할 때마다 자동 망치가 발동할 확률. 퍼크가 이 값을 올린다 (3.13). 발동 중에는 굴리지 않는다
auto_hammer_swing_sec,1.0,sec,자동 망치 한 사이클(장전·강타·반동) 길이. 발동 후 이 시간 안에 때리고 사라진다. 타이머 주기가 아니라 연출 길이다 (3.13)
hit_radius_bonus,25,percent,타격 대상 콜라이더를 외형보다 넓히는 비율. 조준 반경과는 다른 축이다 (GDD 4절)
reticle_radius,0.45,world_unit,호버 망치 조준 판정 반경. 커서 주변 이 거리 안의 대상이 맞는다
spawn_interval_sec,0,sec,미사용 호환 필드. #156 B안 채택으로 시간 기반 개별 리스폰을 제거했다. 되돌릴 경우를 대비해 필드는 남긴다 (REFERENCE_ANALYSIS.md 9절)
extra_spawn_chance_on_destroy,0,percent,저금통 파괴 시 즉시 1개를 추가로 스폰할 확률. 기본은 0 — 저금통 수집벽 업그레이드가 올린다 (원작 재관찰 REFERENCE_ANALYSIS.md 9절)
coin_bonus_multiplier,1.0,ratio,보너스 배율 기준값. 업그레이드는 여기에 더해지고 기간제 퍼크는 곱해진다 (연산은 각 효과를 정의한 표를 따른다)
legacy_point_per_amount,50,amount/point,고지서 납부액 이만큼당 레거시 포인트 1점 (원작 안내문 기준 #183). 우리 고지서 금액 축척은 원작과 달라 잠정값이다 — 3.8(#176) 재계산 뒤 확정
upgrade_cost_growth,1.15,ratio,업그레이드 비용 = 초기비용 * 1.15^레벨
stage_goal_growth,2.5,ratio,다음 단계 목표 = 이전 목표 * 2.5
